"agebin","Village","Seasons","densitybin","count_asex","bin_total_asex","asexual_par_dens_freq","count_gamet","bin_total_gamet","gametocyte_dens_freq","Site","year","month0","month"
5,"Matsari","DC2",0,5,80,0.0625,55,80,0.6875,"Matsari_1970",2,"DC",2
5,"Matsari","DC2",50,7,80,0.0875,25,80,0.3125,"Matsari_1970",2,"DC",2
5,"Matsari","DC2",500,35,80,0.4375,NA,NA,NA,"Matsari_1970",2,"DC",2
5,"Matsari","DC2",5000,23,80,0.2875,NA,NA,NA,"Matsari_1970",2,"DC",2
5,"Matsari","DC2",5e+06,10,80,0.125,NA,NA,NA,"Matsari_1970",2,"DC",2
5,"Matsari","DH2",0,8,52,0.153846153846154,33,52,0.634615384615385,"Matsari_1970",2,"DH",7
5,"Matsari","DH2",50,9,52,0.173076923076923,19,52,0.365384615384615,"Matsari_1970",2,"DH",7
5,"Matsari","DH2",500,27,52,0.519230769230769,NA,NA,NA,"Matsari_1970",2,"DH",7
5,"Matsari","DH2",5000,7,52,0.134615384615385,NA,NA,NA,"Matsari_1970",2,"DH",7
5,"Matsari","DH2",5e+06,1,52,0.0192307692307692,NA,NA,NA,"Matsari_1970",2,"DH",7
5,"Matsari","W2",0,8,45,0.177777777777778,30,45,0.666666666666667,"Matsari_1970",2,"W",10
5,"Matsari","W2",50,11,45,0.244444444444444,13,45,0.288888888888889,"Matsari_1970",2,"W",10
5,"Matsari","W2",500,14,45,0.311111111111111,2,45,0.0444444444444444,"Matsari_1970",2,"W",10
5,"Matsari","W2",5000,10,45,0.222222222222222,NA,NA,NA,"Matsari_1970",2,"W",10
5,"Matsari","W2",5e+06,2,45,0.0444444444444444,NA,NA,NA,"Matsari_1970",2,"W",10
5,"Rafin Marke","DC2",0,7,37,0.189189189189189,18,37,0.486486486486487,"Rafin_Marke_1970",2,"DC",2
5,"Rafin Marke","DC2",50,5,37,0.135135135135135,18,37,0.486486486486487,"Rafin_Marke_1970",2,"DC",2
5,"Rafin Marke","DC2",500,13,37,0.351351351351351,1,37,0.027027027027027,"Rafin_Marke_1970",2,"DC",2
5,"Rafin Marke","DC2",5000,11,37,0.297297297297297,NA,NA,NA,"Rafin_Marke_1970",2,"DC",2
5,"Rafin Marke","DC2",NA,1,37,0.027027027027027,NA,NA,NA,"Rafin_Marke_1970",2,"DC",2
5,"Rafin Marke","DH2",0,21,76,0.276315789473684,40,76,0.526315789473684,"Rafin_Marke_1970",2,"DH",7
5,"Rafin Marke","DH2",50,19,76,0.25,35,76,0.460526315789474,"Rafin_Marke_1970",2,"DH",7
5,"Rafin Marke","DH2",500,29,76,0.381578947368421,1,76,0.0131578947368421,"Rafin_Marke_1970",2,"DH",7
5,"Rafin Marke","DH2",5000,7,76,0.0921052631578947,NA,NA,NA,"Rafin_Marke_1970",2,"DH",7
5,"Rafin Marke","W2",0,16,38,0.421052631578947,26,38,0.684210526315789,"Rafin_Marke_1970",2,"W",10
5,"Rafin Marke","W2",50,9,38,0.236842105263158,11,38,0.289473684210526,"Rafin_Marke_1970",2,"W",10
5,"Rafin Marke","W2",500,11,38,0.289473684210526,1,38,0.0263157894736842,"Rafin_Marke_1970",2,"W",10
5,"Rafin Marke","W2",5000,2,38,0.0526315789473684,NA,NA,NA,"Rafin_Marke_1970",2,"W",10
5,"Sugungum","DC2",0,25,180,0.138888888888889,117,180,0.65,"Sugungum_1970",2,"DC",2
5,"Sugungum","DC2",50,16,180,0.0888888888888889,61,180,0.338888888888889,"Sugungum_1970",2,"DC",2
5,"Sugungum","DC2",500,67,180,0.372222222222222,2,180,0.0111111111111111,"Sugungum_1970",2,"DC",2
5,"Sugungum","DC2",5000,51,180,0.283333333333333,NA,NA,NA,"Sugungum_1970",2,"DC",2
5,"Sugungum","DC2",5e+06,21,180,0.116666666666667,NA,NA,NA,"Sugungum_1970",2,"DC",2
5,"Sugungum","DH2",0,16,83,0.192771084337349,48,83,0.578313253012048,"Sugungum_1970",2,"DH",7
5,"Sugungum","DH2",50,18,83,0.216867469879518,35,83,0.421686746987952,"Sugungum_1970",2,"DH",7
5,"Sugungum","DH2",500,32,83,0.385542168674699,NA,NA,NA,"Sugungum_1970",2,"DH",7
5,"Sugungum","DH2",5000,17,83,0.204819277108434,NA,NA,NA,"Sugungum_1970",2,"DH",7
5,"Sugungum","W2",0,33,171,0.192982456140351,107,171,0.625730994152047,"Sugungum_1970",2,"W",10
5,"Sugungum","W2",50,39,171,0.228070175438596,62,171,0.362573099415205,"Sugungum_1970",2,"W",10
5,"Sugungum","W2",500,57,171,0.333333333333333,2,171,0.0116959064327485,"Sugungum_1970",2,"W",10
5,"Sugungum","W2",5000,30,171,0.175438596491228,NA,NA,NA,"Sugungum_1970",2,"W",10
5,"Sugungum","W2",5e+06,12,171,0.0701754385964912,NA,NA,NA,"Sugungum_1970",2,"W",10
15,"Matsari","DC2",0,6,96,0.0625,77,96,0.802083333333333,"Matsari_1970",2,"DC",2
15,"Matsari","DC2",50,31,96,0.322916666666667,19,96,0.197916666666667,"Matsari_1970",2,"DC",2
15,"Matsari","DC2",500,42,96,0.4375,NA,NA,NA,"Matsari_1970",2,"DC",2
15,"Matsari","DC2",5000,13,96,0.135416666666667,NA,NA,NA,"Matsari_1970",2,"DC",2
15,"Matsari","DC2",5e+06,4,96,0.0416666666666667,NA,NA,NA,"Matsari_1970",2,"DC",2
15,"Matsari","DH2",0,7,71,0.0985915492957746,50,71,0.704225352112676,"Matsari_1970",2,"DH",7
15,"Matsari","DH2",50,32,71,0.450704225352113,21,71,0.295774647887324,"Matsari_1970",2,"DH",7
15,"Matsari","DH2",500,32,71,0.450704225352113,NA,NA,NA,"Matsari_1970",2,"DH",7
15,"Matsari","W2",0,6,65,0.0923076923076923,44,65,0.676923076923077,"Matsari_1970",2,"W",10
15,"Matsari","W2",50,28,65,0.430769230769231,21,65,0.323076923076923,"Matsari_1970",2,"W",10
15,"Matsari","W2",500,22,65,0.338461538461538,NA,NA,NA,"Matsari_1970",2,"W",10
15,"Matsari","W2",5000,8,65,0.123076923076923,NA,NA,NA,"Matsari_1970",2,"W",10
15,"Matsari","W2",5e+06,1,65,0.0153846153846154,NA,NA,NA,"Matsari_1970",2,"W",10
15,"Rafin Marke","DC2",0,5,74,0.0675675675675676,55,74,0.743243243243243,"Rafin_Marke_1970",2,"DC",2
15,"Rafin Marke","DC2",50,22,74,0.297297297297297,18,74,0.243243243243243,"Rafin_Marke_1970",2,"DC",2
15,"Rafin Marke","DC2",500,37,74,0.5,1,74,0.0135135135135135,"Rafin_Marke_1970",2,"DC",2
15,"Rafin Marke","DC2",5000,10,74,0.135135135135135,NA,NA,NA,"Rafin_Marke_1970",2,"DC",2
