"","site_month","loglike_asex","benchmark_loglike_asex","loglike_gamet","benchmark_loglike_gamet"
"1","dapelogo_2007_month1",-51.0299897189928,-51.0299897189928,-Inf,-Inf
"2","dapelogo_2007_month7",-70.5010338439552,-70.5010338439552,-Inf,-Inf
"3","dapelogo_2007_month9",-55.8821864531783,-55.8821864531783,-43.3922870897757,-43.3922870897757
"4","laye_2007_month1",-37.2638441115855,-37.2638441115855,-25.4534108715196,-25.4534108715196
"5","laye_2007_month7",-63.2633725641579,-63.2633725641579,-74.7727191277537,-74.7727191277537
"6","laye_2007_month9",-85.979363506597,-85.979363506597,-Inf,-Inf
"7","matsari_1970_month10",-923.279465974606,-923.279465974606,-1209.5500484636,-1209.5500484636
"8","matsari_1970_month2",-388.714001302739,-388.714001302739,-1125.51365143192,-1125.51365143192
"9","matsari_1970_month7",-622.832735498924,-622.832735498924,-647.161474690202,-647.161474690202
"10","rafin_marke_1970_month10",-555.600629721637,-555.600629721637,-875.907552936092,-875.907552936092
"11","rafin_marke_1970_month2",-150.959057907245,-150.959057907245,-239.138032096872,-239.138032096872
"12","rafin_marke_1970_month7",-646.244051919573,-646.244051919573,-661.447032971289,-661.447032971289
"13","sugungum_1970_month10",-1511.98352893083,-1511.98352893083,-2256.45464715117,-2256.45464715117
"14","sugungum_1970_month2",-547.513150720516,-547.513150720516,-1329.60347754223,-1329.60347754223
"15","sugungum_1970_month7",-1105.66554648878,-1105.66554648878,-983.21480983881,-983.21480983881
