"","site_month","loglike_asex","benchmark_loglike_asex","loglike_gamet","benchmark_loglike_gamet"
"1","dapelogo_2007_month1",-51.0072891607572,-51.0072891607572,-Inf,-Inf
"2","dapelogo_2007_month7",-70.5242210000337,-70.5242210000337,-Inf,-Inf
"3","dapelogo_2007_month9",-55.7952894932142,-55.7952894932142,-43.3042021524025,-43.3042021524025
"4","laye_2007_month1",-37.2352517419991,-37.2352517419991,-25.4211863467663,-25.4211863467663
"5","laye_2007_month7",-63.2078384042811,-63.2078384042811,-74.6978923601846,-74.6978923601846
"6","laye_2007_month9",-85.9354876181554,-85.9354876181554,-Inf,-Inf
"7","matsari_1970_month10",-925.213165835228,-925.213165835228,-1214.35268938958,-1214.35268938958
"8","matsari_1970_month2",-388.565864731465,-388.565864731465,-1126.50675406092,-1126.50675406092
"9","matsari_1970_month7",-622.612333001967,-622.612333001967,-647.031073962426,-647.031073962426
"10","rafin_marke_1970_month10",-554.732764144691,-554.732764144691,-876.754357496309,-876.754357496309
"11","rafin_marke_1970_month2",-151.388731193408,-151.388731193408,-239.028962683603,-239.028962683603
"12","rafin_marke_1970_month7",-646.340343236421,-646.340343236421,-661.756709133005,-661.756709133005
"13","sugungum_1970_month10",-1513.5441864504,-1513.5441864504,-2254.25051452153,-2254.25051452153
"14","sugungum_1970_month2",-547.656061370247,-547.656061370247,-1327.1606844138,-1327.1606844138
"15","sugungum_1970_month7",-1105.65740152686,-1105.65740152686,-982.891517144049,-982.891517144049
