"site_month","loglikelihood_new_sim","loglikelihood_benchmark_sim"
"dielmo_1990_monthmultiple",-Inf,-Inf
"dongubougou_1999_monthmultiple",-84.2146410425814,-84.2146410425814
"ebolakounou_1997_monthmultiple",-1364.55180884569,-1364.55180884569
"koundou_1997_monthmultiple",-1249.51398347697,-1249.51398347697
"matsari_1970_month10",-50.6774401245809,-50.6774401245809
"matsari_1970_month2",-263.729239450083,-263.729239450083
"matsari_1970_month7",-67.1291155350826,-67.1291155350826
"ndiop_1993_monthmultiple",NA,NA
"rafin_marke_1970_month10",-29.3883897416673,-29.3883897416673
"rafin_marke_1970_month2",-145.397736203953,-145.397736203953
"rafin_marke_1970_month7",-64.0206355854979,-64.0206355854979
"sotuba_1999_monthmultiple",-273.454876135101,-273.454876135101
"sugungum_1970_month10",-152.401171178978,-152.401171178978
"sugungum_1970_month2",-333.956856028608,-333.956856028608
"sugungum_1970_month7",-31.4323948317708,-31.4323948317708
