site_month,loglikelihood_new_sim,loglikelihood_benchmark_sim
dielmo_1990_monthmultiple,-3466.6023937629197,-3466.6023937629197
dongubougou_1999_monthmultiple,-84.26103051901676,-84.26103051901676
ebolakounou_1997_monthmultiple,-1363.029630690697,-1363.029630690697
koundou_1997_monthmultiple,-1245.5403763380814,-1245.5403763380814
matsari_1970_month10,-50.662599543326195,-50.662599543326195
matsari_1970_month2,-263.25804760282097,-263.25804760282097
matsari_1970_month7,-67.33292846410185,-67.33292846410185
ndiop_1993_monthmultiple,,
rafin_marke_1970_month10,-29.387106539215623,-29.387106539215623
rafin_marke_1970_month2,-145.89519905060365,-145.89519905060365
rafin_marke_1970_month7,-63.78842174861791,-63.78842174861791
sotuba_1999_monthmultiple,-272.37015246943747,-272.37015246943747
sugungum_1970_month10,-152.7494668500975,-152.7494668500975
sugungum_1970_month2,-335.01903047385656,-335.01903047385656
sugungum_1970_month7,-31.504463570505617,-31.504463570505617
